计算机组成原理::# 目录	目录	https://www.bilibili.com/video/BV1ps4y1d73V/?spm_id_from=333.1391.0.0&p=67&vd_source=26d909d5a5fbd30986799418a48a7f9e# 计算机组成原理<br/><br/>- <a href="#121-计算机基本组成">1.2.1 计算机基本组成</a><br/>  - <a href="#冯诺依曼计算机的特点">冯诺依曼计算机的特点</a><br/>- <a href="#122-现代计算机的结构">1.2.2 现代计算机的结构</a><br/>  - <a href="#主存储器的基本组成">主存储器的基本组成</a><br/>  - <a href="#运算器的基本组成">运算器的基本组成</a><br/>  - <a href="#控制器的基本组成">控制器的基本组成</a><br/>- <a href="#123-计算机软件">1.2.3 计算机软件</a><br/>- <a href="#124-计算机系统的层次结构">1.2.4 计算机系统的层次结构</a><br/>- <a href="#125-计算机系统的工作原理">1.2.5 计算机系统的工作原理</a><br/>- <a href="#13-计算机的性能指标">1.3 计算机的性能指标</a><br/>- <a href="#自测问题">自测问题</a><br/>- <a href="#关键词索引">关键词索引</a><br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.1 计算机基本组成	- **输入设备**：将信息转换成机器能识别的格式。<br/>- **存储器**：存放程序和数据。<br/>- **运算器**：进行**算术运算**和**逻辑运算**。<br/>- **控制器**：指挥程序运行。<br/>- **输出设备**：将结果转换成人们熟悉的形式。<br/><br/>> **注**：在计算机系统中，软件和硬件在逻辑上是等效的。例如，乘法运算既可以通过专门的硬件电路实现，也可以通过软件执行多次加法运算来完成。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	冯诺依曼计算机的特点	1. 计算机由五大基本部分组成。<br/>2. 指令和数据以同等地位存储于存储器中，可按地址访问。<br/>3. 指令和数据均用**二进制**表示。<br/>4. 指令由**操作码**和**地址码**组成。<br/>5. **存储程序思想**。<br/>6. 以运算器为中心（与现代计算机的区别，缺陷在于输入/输出设备与存储器之间的数据交互需通过运算器完成）。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.2 现代计算机的结构	- 大致与冯诺依曼计算机相似。<br/>- **区别**：以**存储器**为中心，输入/输出设备与存储器之间的数据交互是直接的。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	主存储器的基本组成	1. **存储体**：包含 **MAR**（存储地址寄存器）和 **MDR**（存储数据寄存器）。<br/>2. **数据读取过程**：CPU → MAR → 存储体 → MDR → CPU。<br/>3. **存储单元**：数据在存储体内按地址存储，每个地址对应一个存储单元。<br/>4. **存储字 (Word)**：存储单元中二进制代码的组合。<br/>5. **存储字长**：存储单元中二进制代码的位数。<br/>6. **存储元**：存储二进制的电子元件，每个存储元可存 1 bit。<br/><br/>- **MAR 位数**：反映存储单元的个数。<br/>- **MDR 位数**：等于存储字长。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	运算器的基本组成	运算器用于实现**算术运算**（如加减乘除）和**逻辑运算**（如与或非）。<br/>- **ACC**：累加寄存器，用于存放操作数或运算结果。<br/>- **MQ**：乘商寄存器，在乘除运算时用于存放操作数或结果。<br/>- **X**：通用操作数寄存器，用于存放操作数。<br/>- **ALU**：算术逻辑单元，通过内部复杂电路实现算术和逻辑运算。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	控制器的基本组成	- **PC**：程序计数器，存放下一条指令地址，并具有自动加“1”功能。<br/>- **IR**：指令寄存器，存放当前执行的指令。<br/>- **CU**：控制单元，分析指令并发出控制信号。<br/><br/>**指令完成过程**：PC → IR → CU<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.3 计算机软件	(无内容，参考原文)	计算机组成原理第一章
计算机组成原理::# 目录	系统软件和应用软件	- **系统软件**：负责管理硬件资源，并向上层应用程序提供基础服务。<br/>- **应用软件**：为了解决某个应用领域的问题而编制的程序。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	编程语言类型	- **机器语言**：**二进制代码**，直接由计算机硬件执行。<br/>- **汇编语言**：使用**助记符**，比机器语言更易于人类理解。<br/>- **高级语言**：如 **C/C++**、**Java**，更接近人类语言，易于编写和维护。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	语言翻译过程	- 高级语言通过**编译器**转为汇编语言，汇编语言通过**汇编器**转为机器语言。<br/>- **编译程序**：将高级语言一次性翻译成机器语言程序。<br/>- **解释程序**：将源程序的一条语句翻译成对应的机器语言语句，并立即执行，然后翻译下一条（每次执行都需要翻译）。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	软件和硬件的逻辑功能等价性	- **逻辑功能等价性**：同一个功能，可以用**硬件**实现，也可以用**软件**实现。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	指令集体系结构（ISA）	- **指令集体系结构（ISA）**：软件与硬件之间的界面。设计计算机系统的 ISA，就是要定义一台计算机可以支持哪些**指令**，以及每条指令的**作用**是什么、每条指令的**用法**是什么。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.4 计算机系统的层次结构	<br/>计算机系统可以分为多个层次，从上到下依次为软件和硬件的不同抽象级别：<br/><br/>| 层次     | 描述           | 功能说明                         |<br/>| ------ | ------------ | ---------------------------- |<br/>| **软件** | **虚拟机器 M4**  | 用**编译程序**翻译成汇编语言程序。          |<br/>|        | **虚拟机器 M3**  | 用**汇编程序**翻译成机器语言程序。          |<br/>|        | **虚拟机器 M2**  | 向上提供“**广义指令**”（系统调用）。        |<br/>| **硬件** | **传统机器 M1**  | 执行**二进制机器指令**。               |<br/>|        | **微程序机器 M0** | 由硬件直接执行**微指令**，每个指令可分为多个微指令。 |<br/><br/>- **层次关系**：下层是上层的基础，上层是下层的扩展。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.5 计算机系统的工作原理	<br/>计算机系统的工作流程如下：<br/>1. **源程序**（如 `.c`、`.cpp`）经过**预处理器**处理，生成 `.i` 文件（预处理后的源程序）。<br/>2. **编译器**将 `.i` 文件编译成 `.s` 文件（汇编语言程序）。<br/>3. **汇编器**将 `.s` 文件汇编成 `.o` 文件（机器语言程序，即目标模块）。<br/>4. **链接器**链接其他被引用的目标模块，生成完整的**可执行文件**（如 `.exe`）。<br/>5. **可执行文件**需加载到**主存**中才能被执行。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.3 计算机的性能指标	(无内容，参考原文)	计算机组成原理第一章
计算机组成原理::# 目录	存储器的性能指标	- **MAR位数**：反映存储单元的个数。<br/>- **MDR位数**：等于**存储字长**，即每个存储单元的大小。<br/>- **总容量**：存储单元的个数 × 存储字长。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	CPU的性能指标	- **CPU主频**：CPU内数字脉冲信号振荡的频率。<br/>- **CPU主频（时钟频率）**：等于 CPU 时钟周期的倒数（1/CPU时钟周期）。<br/>- **CPI**：执行一条指令所需的时钟周期数。<br/>- **执行一条指令的耗时**：CPI * CPU时钟周期。<br/>- **CPU执行时间**：CPU时钟周期数 / 主频。<br/>- **IPS**：每秒执行多少条指令，计算方式为主频 / CPI。<br/>- **FLOPS**：每秒执行多少次浮点运算。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	系统整体的性能指标	- **数据通路带宽**：数据总线一次所能并行传送信息的位数。<br/>- **吞吐量**：系统在单位时间内处理请求的数量，主要取决于主存的存取周期。<br/>- **响应时间**：用户向计算机发送一个请求，到系统对该请求做出响应并获得结果的等待时间。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	自测问题	1. 计算机的基本组成有哪些部分？<br/>2. 冯诺依曼计算机与现代计算机的主要区别是什么？<br/>3. 主存储器中 MAR 和 MDR 的作用分别是什么？<br/>4. 运算器中的 ALU 是什么？它的功能是什么？<br/>5. 控制器的指令完成过程是怎样的？<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	关键词索引	- 计算机基本组成<br/>- 冯诺依曼计算机<br/>- 现代计算机结构<br/>- 主存储器<br/>- 运算器<br/>- 控制器<br/>- 计算机软件<br/>- 指令集体系结构（ISA）<br/>- 计算机系统的层次结构<br/>- 计算机系统的工作原理<br/>- 计算机的性能指标<br/><br/>**标签**：#重点 #易错<br/><br/>---<br/><br/>**复习记录**：<br/>- 首次复习日期：待定<br/>- 易错点：待定<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>	计算机组成原理第一章
